@relation TechnoGym-weka.filters.unsupervised.attribute.Remove-R10-11

@attribute started_startofweekdate date dd/MM/yyyy
@attribute id_user numeric
@attribute id_facility numeric
@attribute count_session numeric
@attribute count_step numeric
@attribute count_physicalactivity numeric
@attribute sum_assignedmove numeric
@attribute sum_performedduration numeric
@attribute sum_performedweight numeric
@attribute avg_session_length numeric
@attribute pa_compliance numeric
@attribute muscle_compliance numeric
@attribute execise_quality_compliance numeric
@attribute month numeric
@attribute user_sex {M,F}
@attribute user_age numeric
@attribute facility_nation {IT}
@attribute facility_hasunity {true,false}
@attribute facility_hasartis {true,false}
@attribute WeeksSinceLastSession numeric
@attribute WeeksToNextSession numeric
@attribute weeks_since_membership numeric
@attribute id_membership numeric
@attribute cum_count_session numeric
@attribute weeks_to_drop numeric
@attribute count_session_rolling_sum2 numeric
@attribute count_session_rolling_sum8 numeric
@attribute rolling_frequency2 numeric
@attribute pa_compliance_rolling_avg2 numeric
@attribute pa_compliance_rolling_avg8 numeric
@attribute muscle_compliance_rolling_avg2 numeric
@attribute muscle_compliance_rolling_avg8 numeric
@attribute DropFlag {FALSE,TRUE}

@data
20/04/2015,200,4312,3,138,60,5325,9480,439.5,682,0.531267,0.509651,0.514831,4,F,32,IT,false,false,1,1,5,942828,14,4,5,14,2.5,0.763942,0.885436,0.753119,0.879306,FALSE
27/04/2015,200,4312,1,51,21,1841,5958,390,5051,0.997102,0.998058,0.998058,4,F,32,IT,false,false,1,1,6,942828,15,3,4,15,2,0.764185,0.904047,0.753854,0.899098,FALSE
04/05/2015,200,4312,3,153,63,5523,17274,1191,5335,0.97917,0.976458,0.974174,5,F,32,IT,false,false,1,1,7,942828,18,2,4,18,2,0.988136,0.914779,0.987258,0.910149,FALSE
11/05/2015,200,4312,2,102,42,3682,11916,808.5,253,0.992449,0.994014,0.996399,5,F,32,IT,false,false,1,?,8,942828,20,1,5,20,2.5,0.98581,0.924488,0.985236,0.920632,TRUE
06/07/2015,200,4312,1,51,21,1841,3600,226.5,3768,0.617162,0.521374,0.795205,7,F,32,IT,false,false,?,2,1,942829,1,4,1,1,1,0.617162,0.617162,0.521374,0.521374,FALSE
13/07/2015,200,4312,0,0,0,?,0,0,0,0,0,0,7,F,32,IT,false,false,?,?,2,942829,1,4,1,1,0.5,0.308581,0.308581,0.260687,0.260687,FALSE
20/07/2015,200,4312,3,94,40,3986,9252,429,2892,0.684673,0.663992,0.66717,7,F,32,IT,false,false,2,1,3,942829,4,4,3,4,1.5,0.342336,0.433945,0.331996,0.395122,FALSE
27/07/2015,200,4312,3,95,41,3852,8796,565.5,5423,0.665353,0.665702,0.666142,7,F,32,IT,false,false,1,1,4,942829,7,4,6,7,3,0.675013,0.491797,0.664847,0.462767,FALSE
03/08/2015,200,4312,4,126,54,5216,3120,240,2433,0.204248,0.161557,0.121094,8,F,32,IT,false,false,1,4,5,942829,11,4,7,11,3.5,0.4348,0.434287,0.413629,0.402525,FALSE
10/08/2015,200,4312,0,0,0,?,0,0,0,0,0,0,8,F,32,IT,false,false,?,?,6,942829,11,4,4,11,2,0.102124,0.361906,0.080778,0.335437,FALSE
17/08/2015,200,4312,0,0,0,?,0,0,0,0,0,0,8,F,32,IT,false,false,?,?,7,942829,11,4,0,11,0,0,0.310205,0,0.287518,FALSE
24/08/2015,200,4312,0,0,0,?,0,0,0,0,0,0,8,F,32,IT,false,false,?,?,8,942829,11,4,0,11,0,0,0.271429,0,0.251578,FALSE
31/08/2015,200,4312,2,49,19,1893,3690,117,3541,0.401018,0.438169,0.487368,8,F,32,IT,false,false,4,1,9,942829,13,4,2,12,1,0.200509,0.244411,0.219084,0.241177,FALSE
07/09/2015,200,4312,3,80,27,2825,12150,1026.75,3467,0.704125,0.745916,0.772589,9,F,32,IT,false,false,1,1,10,942829,16,4,5,15,2.5,0.552571,0.332427,0.592042,0.334417,FALSE
14/09/2015,200,4312,4,103,35,4521,13380,1081,3117,0.695897,0.679129,0.721044,9,F,32,IT,false,false,1,1,11,942829,20,4,7,16,3.5,0.700011,0.33383,0.712523,0.336309,FALSE
21/09/2015,200,4312,3,83,31,3716,11994,1218.75,4198,0.860698,0.808151,0.839007,9,F,32,IT,false,false,1,1,12,942829,23,4,7,16,3.5,0.778298,0.358248,0.74364,0.354115,FALSE
28/09/2015,200,4312,1,23,9,1095,1608,253.5,2818,0.875295,0.857378,0.663444,9,F,32,IT,false,false,1,3,13,942829,24,4,4,13,2,0.867996,0.442129,0.832764,0.441093,FALSE
23/03/2015,228,1792,1,18,10,910,0,0,0,0,0,0,3,F,41,IT,true,false,?,?,1,385224,1,1,1,1,1,0,0,0,0,TRUE
27/01/2014,269,4339,1,21,9,1160,4380,182.5,3370,0.917865,0.93418,0.929102,1,F,24,IT,false,false,?,1,1,957615,1,4,1,1,1,0.917865,0.917865,0.93418,0.93418,FALSE
03/02/2014,269,4339,4,83,33,4349,11310,426.75,5318,0.689448,0.687752,0.680839,2,F,24,IT,false,false,1,1,2,957615,5,4,5,5,2.5,0.803656,0.803656,0.810966,0.810966,FALSE
10/02/2014,269,4339,3,48,22,2904,9000,201.5,5004,0.849142,0.858298,0.843462,2,F,24,IT,false,false,1,2,3,957615,8,4,7,8,3.5,0.769295,0.818818,0.773025,0.826743,FALSE
17/02/2014,269,4339,0,0,0,?,0,0,0,0,0,0,2,F,24,IT,false,false,?,?,4,957615,8,4,3,8,1.5,0.424571,0.614114,0.429149,0.620058,FALSE
24/02/2014,269,4339,3,48,22,2904,10656,222.5,3819,0.996434,0.996835,0.998049,2,F,24,IT,false,false,2,1,5,957615,11,4,3,11,1.5,0.498217,0.690578,0.498418,0.695413,FALSE
03/03/2014,269,4339,2,29,14,1883,6846,201,4115,0.966364,0.963896,0.977034,3,F,24,IT,false,false,1,3,6,957615,13,4,5,13,2.5,0.981399,0.736542,0.980366,0.74016,FALSE
10/03/2014,269,4339,0,0,0,?,0,0,0,0,0,0,3,F,24,IT,false,false,?,?,7,957615,13,4,2,13,1,0.483182,0.631322,0.481948,0.634423,FALSE
17/03/2014,269,4339,0,0,0,?,0,0,0,0,0,0,3,F,24,IT,false,false,?,?,8,957615,13,4,0,13,0,0,0.552407,0,0.55512,FALSE
24/03/2014,269,4339,2,40,17,2097,4266,201,2263,0.538391,0.489264,0.51732,3,F,24,IT,false,false,3,1,9,957615,15,4,2,14,1,0.269196,0.504972,0.244632,0.499506,FALSE
31/03/2014,269,4339,2,40,17,2097,6276,222.5,3852,0.902697,0.929373,0.887556,3,F,24,IT,false,false,1,2,10,957615,17,4,4,12,2,0.720544,0.531629,0.709318,0.529708,FALSE
07/04/2014,269,4339,0,0,0,?,0,0,0,0,0,0,3,F,24,IT,false,false,?,?,11,957615,17,4,2,9,1,0.451349,0.425486,0.464686,0.422421,FALSE
14/04/2014,269,4339,1,18,9,1034,2376,152,4124,0.775975,0.864113,0.859131,4,F,24,IT,false,false,2,2,12,957615,18,4,1,10,0.5,0.387988,0.522483,0.432056,0.530435,FALSE
21/04/2014,269,4339,0,0,0,?,0,0,0,0,0,0,4,F,24,IT,false,false,?,?,13,957615,18,4,1,7,0.5,0.387988,0.397928,0.432056,0.405831,FALSE
28/04/2014,269,4339,4,79,36,4079,8064,177.5,2503,0.551454,0.526074,0.544259,4,F,24,IT,false,false,2,1,14,957615,22,4,4,9,2,0.275727,0.346065,0.263037,0.351103,FALSE
05/05/2014,269,4339,2,37,17,1998,6864,177.5,4347,0.986878,0.987931,0.988662,5,F,24,IT,false,false,1,2,15,957615,24,4,6,11,3,0.769166,0.469424,0.757002,0.474594,FALSE
12/05/2014,269,4339,0,0,0,?,0,0,0,0,0,0,5,F,24,IT,false,false,?,?,16,957615,24,4,2,11,1,0.493439,0.469424,0.493965,0.474594,FALSE
19/05/2014,269,4339,3,61,27,3045,8886,177.5,2950,0.903498,0.944957,0.928093,5,F,24,IT,false,false,2,1,17,957615,27,4,3,12,1.5,0.451749,0.515063,0.472478,0.531556,FALSE
26/05/2014,269,4339,2,41,18,2215,7476,239,3544,0.993397,0.994276,0.995554,5,F,24,IT,false,false,1,1,18,957615,29,4,5,12,2.5,0.948447,0.5264,0.969616,0.539669,FALSE
02/06/2014,269,4339,1,8,5,750,2835,0,5850,0.998219,0.997387,0.997383,6,F,24,IT,false,false,1,1,19,957615,30,4,3,13,1.5,0.995808,0.651178,0.995831,0.664342,FALSE
09/06/2014,269,4339,3,54,23,3112,6855,84,47,0.66516,0.664898,0.665384,6,F,24,IT,false,false,1,1,20,957615,33,4,4,15,2,0.83169,0.637326,0.831143,0.63944,FALSE
16/06/2014,269,4339,1,21,9,1195,3540,26.5,4306,0.993184,0.995581,0.996863,6,F,24,IT,false,false,1,2,21,957615,34,4,4,16,2,0.829172,0.761474,0.830239,0.763888,FALSE
23/06/2014,269,4339,0,0,0,?,0,0,0,0,0,0,6,F,24,IT,false,false,?,?,22,957615,34,4,1,12,0.5,0.496592,0.692542,0.49779,0.698129,FALSE
30/06/2014,269,4339,1,23,9,1181,4020,84,3244,0.997261,0.997308,0.998768,6,F,24,IT,false,false,2,1,23,957615,35,4,1,11,0.5,0.49863,0.69384,0.498654,0.699301,FALSE
07/07/2014,269,4339,1,21,9,1195,3540,26.5,3980,0.993184,0.995581,0.996863,7,F,24,IT,false,false,1,1,24,957615,36,3,2,12,1,0.995222,0.817988,0.996444,0.823748,FALSE
14/07/2014,269,4339,2,44,18,2376,7560,110.5,2768,0.99259,0.993331,0.99677,7,F,24,IT,false,false,1,1,25,957615,38,2,3,11,1.5,0.992887,0.829124,0.994456,0.829795,FALSE
21/07/2014,269,4339,3,52,23,3126,9915,110.5,2489,0.925623,0.94977,0.927297,7,F,24,IT,false,false,1,?,26,957615,41,1,5,12,2.5,0.959106,0.820653,0.971551,0.824232,TRUE
24/11/2014,293,240,3,66,27,1545,10122,345,5380,0.877012,0.889764,0.828071,11,M,35,IT,true,true,?,1,1,36025,3,4,3,3,3,0.877012,0.877012,0.889764,0.889764,FALSE
01/12/2014,293,240,4,90,36,2336,10686,410.5,4002,0.597895,0.628365,0.608533,12,M,35,IT,true,true,1,1,2,36025,7,4,7,7,3.5,0.737454,0.737454,0.759064,0.759064,FALSE
08/12/2014,293,240,3,67,25,1851,8372,412.75,4973,0.883271,0.897079,0.838609,12,M,35,IT,true,true,1,1,3,36025,10,4,7,10,3.5,0.740583,0.786059,0.762722,0.805069,FALSE
